text,label
"Filme muito ruim, não recomendo.","negativo"
"O filme é bom, mas esperava mais.","positivo"
"Atuação excelente, roteiro envolvente, recomendo!","positivo"
"Previsível e chato, não perca seu tempo.","negativo"
"É o melhor filme que já assisti!","positivo"
"Que filme horrível, atuações sofríveis.","negativo"
"A história é interessante, mas o ritmo é lento.","negativo"
"Um filme inspirador, me fez refletir.","positivo"
"Não entendi nada do filme.","negativo"
"Comédia hilária, ri do começo ao fim.","positivo"
"Suspense de tirar o fôlego!","positivo"
"Diálogos fracos e sem sentido.","negativo"
"Efeitos visuais impressionantes.","positivo"
"Final decepcionante, esperava mais.","negativo"
"Uma obra-prima!","positivo"
"Muito clichê, não surpreende.","negativo"
"Este filme é incrível!","positivo"
"Eu odiei este filme.","negativo"
"Não gostei muito do filme, achei bem mediano.","negativo"
"Amei o filme, muito bom!","positivo"
"Filme muito ruim, não recomendo.","negativo"
"O filme é bom, mas esperava mais.","positivo"
"Atuação excelente, roteiro envolvente, recomendo!","positivo"
"Previsível e chato, não perca seu tempo.","negativo"
"É o melhor filme que já assisti!","positivo"
"Que filme horrível, atuações sofríveis.","negativo"
"A história é interessante, mas o ritmo é lento.","negativo"
"Um filme inspirador, me fez refletir.","positivo"
"Não entendi nada do filme.","negativo"
"Comédia hilária, ri do começo ao fim.","positivo"
"Suspense de tirar o fôlego!","positivo"
"Diálogos fracos e sem sentido.","negativo"
"Efeitos visuais impressionantes.","positivo"
"Final decepcionante, esperava mais.","negativo"
"Uma obra-prima!","positivo"
"Muito clichê, não surpreende.","negativo"
"Este filme é incrível!","positivo"
"Eu odiei este filme.","negativo"
"Não gostei muito do filme, achei bem mediano.","negativo"
"Amei o filme, muito bom!","positivo"
"Filme muito ruim, não recomendo.","negativo"
"O filme é bom, mas esperava mais.","positivo"
"Atuação excelente, roteiro envolvente, recomendo!","positivo"
"Previsível e chato, não perca seu tempo.","negativo"
"É o melhor filme que já assisti!","positivo"
"Que filme horrível, atuações sofríveis.","negativo"
"A história é interessante, mas o ritmo é lento.","negativo"
"Um filme inspirador, me fez refletir.","positivo"
"Não entendi nada do filme.","negativo"
"Comédia hilária, ri do começo ao fim.","positivo"
"Suspense de tirar o fôlego!","positivo"
"Diálogos fracos e sem sentido.","negativo"
"Efeitos visuais impressionantes.","positivo"
"Final decepcionante, esperava mais.","negativo"
"Uma obra-prima!","positivo"
"Muito clichê, não surpreende.","negativo"
"Este filme é incrível!","positivo"
"Eu odiei este filme.","negativo"
"Não gostei muito do filme, achei bem mediano.","negativo"
"Amei o filme, muito bom!","positivo"
"Filme muito ruim, não recomendo.","negativo"
"O filme é bom, mas esperava mais.","positivo"
"Atuação excelente, roteiro envolvente, recomendo!","positivo"
"Previsível e chato, não perca seu tempo.","negativo"
"É o melhor filme que já assisti!","positivo"
"Que filme horrível, atuações sofríveis.","negativo"
"A história é interessante, mas o ritmo é lento.","negativo"
"Um filme inspirador, me fez refletir.","positivo"
"Não entendi nada do filme.","negativo"
"Comédia hilária, ri do começo ao fim.","positivo"
"Suspense de tirar o fôlego!","positivo"
"Diálogos fracos e sem sentido.","negativo"
"Efeitos visuais impressionantes.","positivo"
"Final decepcionante, esperava mais.","negativo"
"Uma obra-prima!","positivo"
"Muito clichê, não surpreende.","negativo"
"Elenco estelar, filme imperdível!","positivo"
"Roteiro fraco, atuações medianas.","negativo"
"Fotografia belíssima, história envolvente.","positivo"
"Não consegui me conectar com os personagens.","negativo"
"Uma experiência cinematográfica única.","positivo"
"Trama confusa, difícil de acompanhar.","negativo"
"A trilha sonora é um show à parte!","positivo"
"Filme arrastado, sem emoção.","negativo"
"Uma lição de vida em forma de filme.","positivo"
"Humor inteligente, diversão garantida.","positivo"
"Um filme para pensar e repensar.","positivo"
"Reviravoltas surpreendentes do início ao fim.","positivo"
"A química entre os protagonistas é incrível.","positivo"
"Um filme que te faz rir e chorar.","positivo"
"Simplesmente perfeito!","positivo"
"A pior coisa que já vi.","negativo"
"Um dos piores filmes que já vi.","negativo"
"Não recomendo, história sem graça.","negativo"
"Esperava mais, filme decepcionante.","negativo"
"Muito bom, vale a pena assistir.","positivo"
"Me surpreendeu positivamente!","positivo"
"Um filme inesquecível.","positivo"
"Chato e entediante, não perca seu tempo.","negativo"
"Um clássico!","positivo"
"Não gostei do final.","negativo"
"Um filme emocionante.","positivo"
"Muito divertido e engraçado.","positivo"
"Um lixo de filme.","negativo"
"Amei cada segundo.","positivo"
"Um filme para toda a família.","positivo"
"Não recomendo para ninguém.","negativo"
"Um filme que te prende do início ao fim.","positivo"
"Um filme sem pé nem cabeça.","negativo"
"Uma obra de arte.","positivo"
"Um filme para esquecer.","negativo"
"Um filme que te faz sonhar.","positivo"
"Um pesadelo de filme.","negativo"
"Um filme que te faz refletir sobre a vida.","positivo"
"Um filme que te faz perder tempo.","negativo"
"Um filme que te faz acreditar no amor.","positivo"
"Um filme que te faz odiar o cinema.","negativo"
"Um filme que te faz querer ser uma pessoa melhor.","positivo"
"Um filme que te faz querer nunca mais assistir a nada.","negativo"
"Um filme que te faz querer viver.","positivo"
"Um filme que te faz querer morrer.","negativo"
"Um filme que te faz querer dançar.","positivo"
"Um filme que te faz querer chorar.","negativo"
"Um filme que te faz querer gritar.","positivo"
"Um filme que te faz querer silenciar.","negativo"
"Um filme que te faz querer amar.","positivo"
"Um filme que te faz querer odiar.","negativo"
"Um filme que te faz querer perdoar.","positivo"
"Um filme que te faz querer vingar.","negativo"
"Um filme que te faz querer lutar.","positivo"
"Um filme que te faz querer desistir.","negativo"
"Um filme que te faz querer acreditar.","positivo"
"Um filme que te faz querer duvidar.","negativo"
"Um filme que te faz querer seguir em frente.","positivo"
"Um filme que te faz querer voltar atrás.","negativo"
"Um filme que te faz querer mudar o mundo.","positivo"
"Um filme que te faz querer se esconder do mundo.","negativo"
"Um filme que te faz querer ser feliz.","positivo"
"Um filme que te faz querer ser triste.","negativo"
"Um filme que te faz querer ser forte.","positivo"
"Um filme que te faz querer ser fraco.","negativo"
"Um filme que te faz querer ser corajoso.","positivo"
"Um filme que te faz querer ser covarde.","negativo"
"Um filme que te faz querer ser livre.","positivo"
"Um filme que te faz querer ser preso.","negativo"
"Um filme que te faz querer ser amado.","positivo"
"Um filme que te faz querer ser odiado.","negativo"
"Um filme que te faz querer ser lembrado.","positivo"
"Um filme que te faz querer ser esquecido.","negativo"
"Um filme que te faz querer ser eterno.","positivo"
"Um filme que te faz querer ser mortal.","negativo"
"Um filme que te faz querer ser Deus.","positivo"
"Um filme que te faz querer ser nada.","negativo"
"Um filme que te faz querer ser tudo.","positivo"
"Um filme que te faz querer ser você.","positivo"
"Um filme que te faz querer ser eu.","negativo"
"Um filme que te faz querer ser nós.","positivo"
"Um filme que te faz querer ser eles.","negativo"
"Um filme que te faz querer ser.","positivo"
"Um filme que te faz não querer ser.","negativo"
"Um filme que te faz.","positivo"
"Um filme que não te faz.","negativo"
"Um filme.","positivo"
"Não é um filme.","negativo"
"Filme!","positivo"
"Não filme!","negativo"
"Um filme bom.","positivo"
"Um filme ruim.","negativo"
"Um filme mediano.","negativo"
"Um filme excelente.","positivo"
"Um filme péssimo.","negativo"
"Um filme incrível.","positivo"
"Um filme horrível.","negativo"
"Um filme legal.","positivo"
"Um filme chato.","negativo"
"Um filme divertido.","positivo"
"Um filme entediante.","negativo"
"Um filme emocionante.","positivo"
"Um filme deprimente.","negativo"
"Um filme inspirador.","positivo"
"Um filme desmotivador.","negativo"
"Um filme reflexivo.","positivo"
"Um filme superficial.","negativo"
"Um filme profundo.","positivo"
"Um filme vazio.","negativo"
"Um filme completo.","positivo"
"Um filme inacabado.","negativo"
"Um filme original.","positivo"
"Um filme clichê.","negativo"
"Um filme surpreendente.","positivo"
"Um filme previsível.","negativo"
"Um filme complexo.","positivo"
"Um filme simples.","negativo"
"Um filme inteligente.","positivo"
"Um filme burro.","negativo"
"Um filme bem feito.","positivo"
"Um filme mal feito.","negativo"
"Um filme caro.","positivo"
"Um filme barato.","negativo"
"Um filme longo.","negativo"
"Um filme curto.","positivo"
"Um filme novo.","positivo"
"Um filme velho.","negativo"
"Um filme atual.","positivo"
"Um filme antigo.","negativo"
"Um filme nacional.","positivo"
"Um filme estrangeiro.","negativo"
"Um filme independente.","positivo"
"Um filme comercial.","negativo"
"Um filme cult.","positivo"
"Um filme trash.","negativo"
"Um filme de arte.","positivo"
"Um filme de terror.","negativo"
"Um filme de comédia.","positivo"
"Um filme de drama.","negativo"
"Um filme de ação.","positivo"
"Um filme de romance.","positivo"
"Um filme de aventura.","positivo"
"Um filme de ficção científica.","positivo"
"Um filme de fantasia.","positivo"
"Um filme de suspense.","positivo"
"Um filme de animação.","positivo"
"Um filme de guerra.","negativo"
"Um filme de faroeste.","negativo"
"Um filme de época.","negativo"
"Um filme musical.","negativo"
"Um filme policial.","negativo"
"Um filme documentário.","negativo"
"Um filme biográfico.","negativo"
"Um filme histórico.","negativo"
"Um filme religioso.","negativo"
"Um filme infantil.","negativo"
"Um filme adulto.","negativo"
"Um filme para todos os públicos.","positivo"
"Um filme para maiores de 18 anos.","negativo"
"Um filme para assistir sozinho.","negativo"
"Um filme para assistir com amigos.","positivo"
"Um filme para assistir com a família.","positivo"
"Um filme para assistir com o namorado(a).","positivo"
"Um filme para assistir no cinema.","positivo"
"Um filme para assistir em casa.","positivo"
"Um filme para assistir no trabalho.","negativo"
"Um filme para assistir na escola.","negativo"
"Um filme para assistir na faculdade.","negativo"
"Um filme para assistir no ônibus.","negativo"
"Um filme para assistir no metrô.","negativo"
"Um filme para assistir no avião.","negativo"
"Um filme para assistir no trem.","negativo"
"Um filme para assistir no carro.","negativo"
"Um filme para assistir na cama.","positivo"
"Um filme para assistir no sofá.","positivo"
"Um filme para assistir na praia.","positivo"
"Um filme para assistir no campo.","positivo"
"Um filme para assistir na cidade.","positivo"
"Um filme para assistir no interior.","positivo"
"Um filme para assistir no exterior.","positivo"
"Um filme para assistir em Marte.","positivo"
"Um filme para assistir em Júpiter.","positivo"
"Um filme para assistir em Saturno.","positivo"
"Um filme para assistir em Urano.","positivo"
"Um filme para assistir em Netuno.","positivo"
"Um filme para assistir em Plutão.","positivo"
"Um filme para assistir no Sol.","positivo"
"Um filme para assistir na Lua.","positivo"
"Um filme para assistir nas estrelas.","positivo"
"Um filme para assistir no céu.","positivo"
"Um filme para assistir no inferno.","negativo"
"Um filme para assistir no purgatório.","negativo"
"Um filme para assistir no limbo.","negativo"
"Um filme para assistir no paraíso.","positivo"
"Um filme para assistir no céu.","positivo"
"Um filme para assistir no mundo.","positivo"
"Um filme para assistir em qualquer lugar.","positivo"
"Um filme para não assistir em lugar nenhum.","negativo"
"Um filme para sempre.","positivo"
"Um filme para nunca mais.","negativo"
"Um filme para recordar.","positivo"
"Um filme para esquecer.","negativo"
"Um filme para amar.","positivo"
"Um filme para odiar.","negativo"
"Um filme para viver.","positivo"
"Um filme para morrer.","negativo"
"Um filme para sonhar.","positivo"
"Um filme para acordar.","negativo"
"Um filme para rir.","positivo"
"Um filme para chorar.","negativo"
"Um filme para gritar.","positivo"
"Um filme para silenciar.","negativo"
"Um filme para amar.","positivo"
"Um filme para odiar.","negativo"
"Um filme para perdoar.","positivo"
"Um filme para vingar.","negativo"
"Um filme para lutar.","positivo"
"Um filme para desistir.","negativo"
"Um filme para acreditar.","positivo"
"Um filme para duvidar.","negativo"
"Um filme para seguir em frente.","positivo"
"Um filme para voltar atrás.","negativo"
"Um filme para mudar o mundo.","positivo"
"Um filme para se esconder do mundo.","negativo"
"Um filme para ser feliz.","positivo"
"Um filme para ser triste.","negativo"
"Um filme para ser forte.","positivo"
"Um filme para ser fraco.","negativo"
"Um filme para ser corajoso.","positivo"
"Um filme para ser covarde.","negativo"
"Um filme para ser livre.","positivo"
"Um filme para ser preso.","negativo"
"Um filme para ser amado.","positivo"
"Um filme para ser odiado.","negativo"
"Um filme para ser lembrado.","positivo"
"Um filme para ser esquecido.","negativo"
"Um filme para ser eterno.","positivo"
"Um filme para ser mortal.","negativo"
"Um filme para ser Deus.","positivo"
"Um filme para ser nada.","negativo"
"Um filme para ser tudo.","positivo"
"Um filme para ser você.","positivo"
"Um filme para ser eu.","negativo"
"Um filme para ser nós.","positivo"
"Um filme para ser eles.","negativo"
"Um filme para ser.","positivo"
"Um filme para não ser.","negativo"
"Um filme para.","positivo"
"Um filme não.","negativo"
"Filme.","positivo"
"Não filme.","negativo"
